Entry,ID,MAX_OCC,MaxOccNo,LAT,LON
67,006-0016,48,48,46.106608000000000,-103.419923000000000
68,007-0001,30,30,48.577081999999900,-102.865454000000000
69,007-0001,40,40,48.577081999999900,-102.865454000000000
70,007-0006,10,10,48.559244999999900,-102.646669000000000
71,012-0001,7,7,48.728239000000000,-103.049988000000000
72,012-0002,4,4,48.868986999999900,-103.547341000000000
73,012-0002,4,4,48.868986999999900,-103.547341000000000
74,012-0003,4,4,48.636645000000000,-102.931706000000000
75,012-0005,UNKNOWN,UNK,48.990224000000000,-103.489182000000000
76,001-0001,9,9,46.191749000000000,-102.663522000000000
77,001-0002,8,8,46.134442999999900,-102.927032999999000
78,001-0003,12,12,46.134442999999900,-102.927032999999000
79,001-0004,24,24,45.999245999999900,-102.636534000000000
80,004-0001,200,200,46.869103000000000,-103.304073000000000
81,004-0003,10,10,47.125292000000000,-103.203576000000000
82,004-0004,10,10,47.127735999999900,-103.204800000000000
83,004-0005,26,26,47.124257000000000,-103.197872000000000
84,004-0008,10,10,47.284753000000000,-103.286924000000000
85,004-0009,17,17,47.127946000000000,-103.203025000000000
86,004-0011,150,150,46.909106999999900,-103.524820000000000
87,004-0012,4,4,46.889963000000000,-103.526394000000000
88,027-0044,86,86,47.799345000000000,-103.283109000000000
89,027-0046,19,19,47.846077000000000,-103.643888000000000
90,027-0048,12,12,47.804867000000000,-103.591887000000000
91,027-0049,8,8,47.861626999999900,-104.043948000000000
92,029-0001,UNKNOWN,UNK,47.278034000000000,-101.781635000000000
93,029-0004,14,14,47.259759000000000,-101.778358999999000
94,029-0005,8,8,47.259759000000000,-101.778358999999000
95,029-0006,13,13,47.118527999999900,-101.933471000000000
96,029-0007,6,6,47.304330999999900,-101.622673000000000
97,029-0008,28,28,47.511273000000000,-101.453419999999000
98,029-0009,38,38,47.274335000000000,-101.783077000000000
99,012-0021,4,4,48.888026000000000,-103.008313000000000
100,012-0022,40,40,48.908124999999900,-103.290088999999000
101,012-0023,33,33,48.833294000000000,-103.272863000000000
102,012-0025,10,10,48.886501000000000,-103.007816000000000
103,013-0001,200,200,47.223298000000000,-102.765593999999000
104,013-0002,110,110,47.226441999999900,-102.773785000000000
105,013-0003,300,300,47.359366000000000,-102.793122999999000
106,013-0004,1650,1650,47.020994000000000,-102.678116000000000
107,013-0005,50,50,47.372740000000000,-102.734077000000000
108,013-0006,500,500,47.019587999999900,-102.807565999999000
109,013-0007,300,300,47.367162000000000,-102.793228000000000
110,013-0008,252,252,47.363073999999900,-102.790466000000000
111,013-0009,38,38,47.392474999999900,-102.766050000000000
112,013-0010,UNKNOWN,UNK,47.545665000000000,-102.736099000000000
113,013-0011,UNKNOWN,UNK,47.366778000000000,-102.858996000000000
114,013-0012,86,86,47.357650000000000,-102.748033000000000
115,013-0012,6,6,47.357650000000000,-102.748033000000000
116,013-0013,44,44,47.366596999999900,-102.752826000000000
117,013-0014,4,4,47.055342000000000,-102.280794000000000
118,013-0015,10,10,47.354472999999900,-102.617996000000000
119,013-0016,22,22,47.270173000000000,-102.909156000000000
120,013-0019,10,10,47.312657999999900,-102.429990000000000
121,013-0020,24,24,47.472282999999900,-102.889533000000000
122,004-0012,16,16,46.889963000000000,-103.526394000000000
123,004-0014,UNKNOWN,UNK,46.910584000000000,-103.522428000000000
124,004-0015,114,114,46.765346000000000,-103.435308000000000
125,004-0016,22,22,46.765346000000000,-103.435308000000000
126,004-0017,141,141,46.910003000000000,-103.523983000000000
127,004-0019,8,8,46.765346000000000,-103.435308000000000
128,004-0020,16,16,46.959609000000000,-103.598533000000000
129,004-0021,12,12,46.765346000000000,-103.435308000000000
130,004-0022,10,10,47.124735999999900,-103.328978000000000
131,004-0023,76,76,46.912654000000000,-103.521461000000000
132,006-0001,13,13,46.106608000000000,-103.419923000000000
133,012-0008,4,4,48.948974999999900,-103.914308000000000
134,012-0009,4,4,48.948686000000000,-103.383054000000000
135,012-0010,2,2,48.808231999999900,-103.643786000000000
136,012-0011,9,9,48.660353999999900,-102.922088000000000
137,012-0011,1,1,48.660353999999900,-102.922088000000000
138,012-0012,1,1,48.665472000000000,-103.580239000000000
139,012-0012,10,10,48.665472000000000,-103.580239000000000
140,012-0014,50,50,48.967230000000000,-103.405002999999000
141,012-0017,4,4,48.852037000000000,-103.663745000000000
142,012-0020,5 SU,5,48.636886000000000,-103.325434000000000
143,012-0020,10,10,48.636886000000000,-103.325434000000000
144,006-0002,40,40,46.177895000000000,-103.405472000000000
145,031-0030,22,22,48.421739000000000,-102.661085000000000
146,031-0031,2,2,48.421739000000000,-102.661085000000000
147,031-0032,UNKNOWN,UNK,47.941402000000000,-102.216501000000000
148,031-0033,UNKNOWN,UNK,48.297938000000000,-102.480573000000000
149,031-0034,20,20,48.480750000000000,-102.423106000000000
150,031-0035,1,1,48.339494000000000,-102.227924000000000
151,031-0036,13 SU,13,48.317198000000000,-102.591558000000000
152,031-0036,14,14,48.313401000000000,-102.600433000000000
153,031-0037,8 SU,8,48.317198000000000,-102.591558000000000
154,031-0037,15,15,48.317198000000000,-102.591558000000000
155,031-0048,1,1,47.978703000000000,-102.402674000000000
156,031-0049,1,1,48.339310000000000,-102.227045000000000
157,031-0050,1,1,48.339441000000000,-102.227045000000000
158,031-0051,25,25,48.317206000000000,-102.589792000000000
159,031-0052,25,25,48.314924000000000,-102.590219000000000
